MsgID.GLOBAL_POSITION,1520547984.5892081,-122.3974499,37.7924803,0.2550000
MsgID.LOCAL_VELOCITY,1520547984.5892081,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520547984.5892081,0.0432809,0.0047948,-0.2556780
MsgID.LOCAL_VELOCITY,1520547984.5892081,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520547984.5892081,-122.3974488,37.7924789,0.2340000
MsgID.LOCAL_VELOCITY,1520547984.5892081,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520547984.5902081,-0.1148782,0.0978737,-0.2347555
MsgID.LOCAL_VELOCITY,1520547984.5902081,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520547984.5902081,-122.3974485,37.7924789,0.2070000
MsgID.LOCAL_VELOCITY,1520547984.5902081,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520547984.5902081,-0.1147415,0.1321874,-0.2077901
MsgID.LOCAL_VELOCITY,1520547984.5902081,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520547984.5902081,-122.3974495,37.7924799,0.1740000
MsgID.LOCAL_VELOCITY,1520547984.5902081,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520547984.5902081,-0.0014101,0.0377498,-0.1743284
MsgID.LOCAL_VELOCITY,1520547984.5902081,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520547984.5912082,False,False
MsgID.GLOBAL_HOME,1520547984.5912082,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1520547984.5982091,-122.3974509,37.7924800,0.1430000
MsgID.LOCAL_VELOCITY,1520547984.5982091,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520547984.5982091,0.0000017,-0.0812607,-0.1438135
MsgID.LOCAL_VELOCITY,1520547984.5982091,-0.0000047,0.0000015,0.0000257
MsgID.GLOBAL_POSITION,1520547984.8472338,-122.3974492,37.7924793,0.1140000
MsgID.LOCAL_VELOCITY,1520547984.8472338,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520547984.8472338,-0.0737506,0.0639789,-0.1141142
MsgID.LOCAL_VELOCITY,1520547984.8472338,0.0000121,0.0000012,0.0000478
MsgID.GLOBAL_POSITION,1520547985.0982590,-122.3974486,37.7924787,0.0910000
MsgID.LOCAL_VELOCITY,1520547985.0982590,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520547985.0992589,-0.1444408,0.1169802,-0.0913227
MsgID.LOCAL_VELOCITY,1520547985.0992589,0.0000097,-0.0000002,0.0000478
MsgID.GLOBAL_POSITION,1520547985.3482840,-122.3974514,37.7924800,0.0710000
MsgID.LOCAL_VELOCITY,1520547985.3482840,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520547985.3482840,0.0091389,-0.1254393,-0.0710329
MsgID.LOCAL_VELOCITY,1520547985.3482840,-0.0000101,-0.0000002,0.0000244
MsgID.STATE,1520547985.5773070,True,True
MsgID.GLOBAL_HOME,1520547985.6903181,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1520547985.6903181,-122.3974494,37.7924795,0.0550000
MsgID.LOCAL_VELOCITY,1520547985.6903181,0.0000000,0.0000000,0.0000000
